,Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
0,0,2.0,2020-11-01 00:50:54,2020-11-01 01:01:10,1.0,2.45,1.0,N,144,186,1.0,10.0,0.5,0.5,1.2,0.0,0.3,15.0,2.5
1,1,2.0,2020-11-01 01:25:31,2020-11-01 01:37:37,1.0,4.13,1.0,N,231,163,1.0,13.5,0.5,0.5,3.0,0.0,0.3,20.3,2.5
2,2,1.0,2020-11-01 01:39:20,2020-11-01 01:40:34,1.0,0.1,1.0,N,148,148,3.0,3.0,3.0,0.5,0.0,0.0,0.3,6.8,2.5
3,3,2.0,2020-11-01 03:21:33,2020-11-01 03:26:14,1.0,1.72,1.0,N,90,163,1.0,6.5,0.5,0.5,1.0,0.0,0.3,11.3,2.5
4,4,2.0,2020-11-01 07:02:34,2020-11-01 07:04:06,1.0,0.65,1.0,N,236,141,2.0,4.0,0.0,0.5,0.0,0.0,0.3,7.3,2.5
5,5,2.0,2020-11-01 10:54:02,2020-11-01 10:57:11,2.0,0.38,1.0,N,140,140,1.0,4.0,0.0,0.5,1.46,0.0,0.3,8.76,2.5
6,6,2.0,2020-11-01 12:20:14,2020-11-01 12:38:08,2.0,7.18,1.0,N,33,162,1.0,22.0,0.0,0.5,7.59,0.0,0.3,32.89,2.5
7,7,1.0,2020-11-01 12:53:26,2020-11-01 13:05:30,2.0,2.2,1.0,N,141,239,1.0,10.5,2.5,0.5,2.07,0.0,0.3,15.87,2.5
8,8,2.0,2020-11-01 12:29:09,2020-11-01 12:36:44,1.0,1.88,1.0,N,263,229,1.0,8.0,0.0,0.5,2.26,0.0,0.3,13.56,2.5
9,9,1.0,2020-11-01 12:07:14,2020-11-01 12:17:10,2.0,1.8,1.0,N,239,140,1.0,8.5,2.5,0.5,2.35,0.0,0.3,14.15,2.5
10,10,2.0,2020-11-01 12:58:53,2020-11-01 13:02:30,1.0,0.79,1.0,N,263,141,2.0,4.5,0.0,0.5,0.0,0.0,0.3,7.8,2.5
11,11,1.0,2020-11-01 13:33:20,2020-11-01 13:38:04,2.0,0.9,1.0,N,262,140,1.0,5.5,2.5,0.5,2.2,0.0,0.3,11.0,2.5
12,12,2.0,2020-11-01 13:14:28,2020-11-01 13:23:15,1.0,1.44,1.0,N,140,162,1.0,7.5,0.0,0.5,1.62,0.0,0.3,12.42,2.5
13,13,1.0,2020-11-01 14:36:04,2020-11-01 14:44:15,1.0,1.6,1.0,N,234,233,1.0,7.5,2.5,0.5,2.0,0.0,0.3,12.8,2.5
14,14,2.0,2020-11-01 14:26:05,2020-11-01 14:32:07,1.0,1.47,1.0,N,151,239,1.0,6.5,0.0,0.5,1.47,0.0,0.3,11.27,2.5
15,15,2.0,2020-11-01 14:24:51,2020-11-01 14:27:49,1.0,0.36,1.0,N,236,236,1.0,4.0,0.0,0.5,1.46,0.0,0.3,8.76,2.5
