,Unnamed:_0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
0,0,2.0,2020-12-01 02:55:45,2020-12-01 03:05:03,3.0,2.32,1.0,N,234,148,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
1,1,1.0,2020-12-01 06:30:33,2020-12-01 06:46:40,1.0,6.5,1.0,N,263,114,2.0,20.5,2.5,0.5,0.0,0.0,0.3,23.8,2.5
2,2,2.0,2020-12-01 07:57:14,2020-12-01 08:25:37,1.0,8.63,1.0,N,100,42,2.0,29.5,0.0,0.5,0.0,0.0,0.3,32.8,2.5
3,3,2.0,2020-12-01 07:58:38,2020-12-01 08:03:53,2.0,1.05,1.0,N,238,236,1.0,6.0,0.0,0.5,0.93,0.0,0.3,10.23,2.5
4,4,1.0,2020-12-01 08:30:29,2020-12-01 08:50:23,0.0,3.4,1.0,N,186,87,1.0,15.0,2.5,0.5,4.55,0.0,0.3,22.85,2.5
5,5,2.0,2020-12-01 08:10:22,2020-12-01 08:20:38,6.0,2.01,1.0,N,43,161,1.0,9.5,0.0,0.5,1.92,0.0,0.3,14.72,2.5
6,6,2.0,2020-12-01 09:44:45,2020-12-01 09:50:53,1.0,1.22,1.0,N,142,163,2.0,6.5,0.0,0.5,0.0,0.0,0.3,9.8,2.5
7,7,2.0,2020-12-01 09:11:44,2020-12-01 09:24:15,2.0,1.72,1.0,N,143,161,1.0,10.0,0.0,0.5,2.66,0.0,0.3,15.96,2.5
8,8,2.0,2020-12-01 10:05:45,2020-12-01 10:26:49,1.0,6.92,1.0,N,163,13,1.0,23.0,0.0,0.5,2.0,0.0,0.3,28.3,2.5
9,9,2.0,2020-12-01 10:34:08,2020-12-01 10:42:25,1.0,0.96,1.0,N,239,43,1.0,7.0,0.0,0.5,2.06,0.0,0.3,12.36,2.5
10,10,2.0,2020-12-01 10:07:51,2020-12-01 10:10:38,1.0,0.41,1.0,N,79,224,1.0,4.0,0.0,0.5,1.46,0.0,0.3,8.76,2.5
11,11,2.0,2020-12-01 11:53:22,2020-12-01 12:04:36,2.0,1.58,1.0,N,236,43,1.0,9.0,0.0,0.5,1.84,0.0,0.3,14.14,2.5
12,12,2.0,2020-12-01 12:11:55,2020-12-01 12:20:52,2.0,1.04,1.0,N,140,262,1.0,7.5,0.0,0.5,2.16,0.0,0.3,12.96,2.5
13,13,2.0,2020-12-01 13:47:28,2020-12-01 13:53:40,1.0,0.92,1.0,N,142,142,1.0,6.0,0.0,0.5,1.86,0.0,0.3,11.16,2.5
14,14,1.0,2020-12-01 13:54:20,2020-12-01 14:14:57,1.0,3.6,1.0,N,237,137,1.0,17.0,2.5,0.5,5.05,0.0,0.3,25.35,2.5
15,15,2.0,2020-12-01 13:32:07,2020-12-01 13:42:00,6.0,1.6,1.0,N,246,186,1.0,8.5,0.0,0.5,3.54,0.0,0.3,15.34,2.5
16,16,2.0,2020-12-01 13:57:47,2020-12-01 14:06:51,1.0,1.68,1.0,N,163,170,1.0,8.0,0.0,0.5,2.26,0.0,0.3,13.56,2.5
17,17,1.0,2020-12-01 14:35:07,2020-12-01 14:57:57,1.0,3.3,1.0,N,263,170,2.0,16.0,2.5,0.5,0.0,0.0,0.3,19.3,2.5
18,18,2.0,2020-12-01 14:59:37,2020-12-01 15:11:44,2.0,1.84,1.0,N,137,161,1.0,10.0,0.0,0.5,2.66,0.0,0.3,15.96,2.5
19,19,2.0,2020-12-01 15:00:30,2020-12-01 15:06:08,1.0,0.96,1.0,N,141,141,1.0,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5
20,20,2.0,2020-12-01 15:37:29,2020-12-01 15:45:21,1.0,1.13,1.0,N,237,141,1.0,6.5,0.0,0.5,1.96,0.0,0.3,11.76,2.5
21,21,2.0,2020-12-01 17:27:01,2020-12-01 17:31:01,3.0,0.62,1.0,N,236,236,1.0,4.5,1.0,0.5,2.2,0.0,0.3,11.0,2.5
22,22,2.0,2020-12-01 17:00:55,2020-12-01 17:13:05,1.0,1.04,1.0,N,263,140,1.0,9.0,1.0,0.5,2.66,0.0,0.3,15.96,2.5
