,Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
0,0,2.0,2020-10-01 00:28:11,2020-10-01 00:42:15,1.0,3.84,1.0,N,263,48,1.0,14.0,0.5,0.5,3.56,0.0,0.3,21.36,2.5
1,1,1.0,2020-10-01 06:00:49,2020-10-01 06:21:14,1.0,11.8,1.0,N,141,254,1.0,32.5,2.5,0.5,5.0,0.0,0.3,40.8,2.5
2,2,1.0,2020-10-01 07:50:36,2020-10-01 07:56:05,1.0,1.8,1.0,N,236,162,2.0,7.0,2.5,0.5,0.0,0.0,0.3,10.3,2.5
3,3,2.0,2020-10-01 07:27:00,2020-10-01 07:34:35,1.0,1.7,1.0,N,186,249,1.0,7.5,0.0,0.5,1.0,0.0,0.3,11.8,2.5
4,4,2.0,2020-10-01 08:10:19,2020-10-01 08:20:18,1.0,0.84,1.0,N,170,107,1.0,7.5,0.0,0.5,2.16,0.0,0.3,12.96,2.5
5,5,2.0,2020-10-01 08:01:23,2020-10-01 08:12:07,4.0,1.39,1.0,N,237,236,1.0,9.0,0.0,0.5,2.46,0.0,0.3,14.76,2.5
6,6,1.0,2020-10-01 09:12:28,2020-10-01 09:20:42,1.0,1.1,1.0,N,233,164,2.0,7.0,2.5,0.5,0.0,0.0,0.3,10.3,2.5
7,7,2.0,2020-10-01 12:43:15,2020-10-01 12:54:55,1.0,2.24,1.0,N,239,50,1.0,11.0,0.0,0.5,2.86,0.0,0.3,17.16,2.5
8,8,2.0,2020-10-01 12:15:45,2020-10-01 12:29:31,3.0,2.53,1.0,N,24,116,2.0,11.5,0.0,0.5,0.0,0.0,0.3,12.3,0.0
9,9,2.0,2020-10-01 12:27:56,2020-10-01 12:39:01,1.0,1.94,1.0,N,142,236,1.0,9.5,0.0,0.5,3.2,0.0,0.3,16.0,2.5
10,10,2.0,2020-10-01 12:57:55,2020-10-01 13:09:01,1.0,1.31,1.0,N,161,237,1.0,8.5,0.0,0.5,1.77,0.0,0.3,13.57,2.5
11,11,2.0,2020-10-01 12:31:49,2020-10-01 12:35:53,5.0,0.43,1.0,N,107,137,1.0,4.5,0.0,0.5,2.34,0.0,0.3,10.14,2.5
12,12,2.0,2020-10-01 12:44:46,2020-10-01 12:56:21,1.0,1.63,1.0,N,170,237,1.0,9.5,0.0,0.5,2.56,0.0,0.3,15.36,2.5
13,13,1.0,2020-10-01 12:37:35,2020-10-01 12:42:08,1.0,0.6,1.0,N,264,211,1.0,5.0,2.5,0.5,1.65,0.0,0.3,9.95,2.5
14,14,1.0,2020-10-01 12:06:23,2020-10-01 12:14:30,1.0,1.4,1.0,N,264,75,1.0,7.5,0.0,0.5,1.65,0.0,0.3,9.95,0.0
15,15,2.0,2020-10-01 12:24:53,2020-10-01 12:31:59,1.0,1.22,1.0,N,238,142,4.0,-6.5,0.0,-0.5,0.0,0.0,-0.3,-9.8,-2.5
16,16,2.0,2020-10-01 13:49:57,2020-10-01 13:55:03,1.0,0.83,1.0,N,142,163,1.0,5.5,0.0,0.5,2.64,0.0,0.3,11.44,2.5
17,17,2.0,2020-10-01 13:35:57,2020-10-01 13:46:58,1.0,1.73,1.0,N,161,236,1.0,9.5,0.0,0.5,2.56,0.0,0.3,15.36,2.5
18,18,2.0,2020-10-01 14:06:02,2020-10-01 14:15:40,1.0,1.61,1.0,N,170,237,1.0,8.5,0.0,0.5,2.36,0.0,0.3,14.16,2.5
19,19,2.0,2020-10-01 15:10:19,2020-10-01 15:23:50,1.0,2.25,1.0,N,41,116,1.0,11.0,0.0,0.5,2.36,0.0,0.3,14.16,0.0
20,20,2.0,2020-10-01 16:12:35,2020-10-01 16:28:09,4.0,4.18,1.0,N,231,48,1.0,15.5,1.0,0.5,2.0,0.0,0.3,21.8,2.5
21,21,2.0,2020-10-01 16:19:16,2020-10-01 16:46:34,1.0,3.31,1.0,N,164,236,1.0,19.0,1.0,0.5,5.82,0.0,0.3,29.12,2.5
22,22,2.0,2020-10-01 17:09:46,2020-10-01 17:14:36,1.0,0.76,1.0,N,43,239,1.0,5.5,1.0,0.5,1.96,0.0,0.3,11.76,2.5
23,23,1.0,2020-10-01 17:50:24,2020-10-01 18:11:26,1.0,5.2,1.0,N,231,25,1.0,18.0,3.5,0.5,4.45,0.0,0.3,26.75,2.5
24,24,2.0,2020-10-01 21:11:16,2020-10-01 21:22:10,1.0,1.72,1.0,N,151,74,2.0,9.5,0.5,0.5,0.0,0.0,0.3,10.8,0.0
25,25,1.0,2020-10-01 21:27:41,2020-10-01 21:35:02,1.0,1.3,1.0,N,163,48,2.0,7.0,3.0,0.5,0.0,0.0,0.3,10.8,2.5
26,26,2.0,2020-10-01 22:45:01,2020-10-01 22:47:14,1.0,0.42,1.0,N,237,163,2.0,3.5,0.5,0.5,0.0,0.0,0.3,7.3,2.5
27,27,1.0,2020-10-01 22:51:28,2020-10-01 22:57:51,1.0,1.0,1.0,N,145,193,2.0,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0.0
