,Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
0,0,2.0,2020-06-01 06:43:32,2020-06-01 06:50:34,1.0,1.77,1.0,N,186,161,1.0,7.5,0.0,0.5,2.16,0.0,0.3,12.96,2.5
1,1,2.0,2020-06-01 06:24:06,2020-06-01 06:34:26,1.0,5.59,1.0,N,143,244,1.0,17.5,0.0,0.5,2.0,0.0,0.3,22.8,2.5
2,2,2.0,2020-06-01 10:24:37,2020-06-01 10:37:33,1.0,3.79,1.0,N,238,161,2.0,13.5,0.0,0.5,0.0,0.0,0.3,16.8,2.5
3,3,1.0,2020-06-01 10:30:25,2020-06-01 10:38:07,1.0,1.4,1.0,N,68,137,2.0,7.5,2.5,0.5,0.0,0.0,0.3,10.8,2.5
4,4,1.0,2020-06-01 11:31:13,2020-06-01 11:39:15,1.0,1.8,1.0,N,141,236,1.0,8.0,2.5,0.5,2.7,0.0,0.3,14.0,2.5
5,5,1.0,2020-06-01 11:42:57,2020-06-01 11:49:40,1.0,0.5,1.0,N,75,75,1.0,6.0,0.0,0.5,2.0,0.0,0.3,8.8,0.0
6,6,2.0,2020-06-01 11:19:58,2020-06-01 11:38:20,1.0,3.63,1.0,N,43,100,2.0,15.5,0.0,0.5,0.0,0.0,0.3,18.8,2.5
7,7,1.0,2020-06-01 12:40:05,2020-06-01 12:44:45,1.0,0.8,1.0,N,249,249,1.0,5.5,2.5,0.5,1.75,0.0,0.3,10.55,2.5
8,8,2.0,2020-06-01 12:38:39,2020-06-01 12:46:52,2.0,1.06,1.0,N,263,75,2.0,6.5,0.0,0.5,0.0,0.0,0.3,7.3,0.0
9,9,2.0,2020-06-01 12:02:09,2020-06-01 12:10:12,1.0,0.91,1.0,N,232,79,2.0,6.5,0.0,0.5,0.0,0.0,0.3,9.8,2.5
10,10,2.0,2020-06-01 12:31:44,2020-06-01 12:49:45,2.0,6.39,1.0,N,186,41,2.0,21.0,0.0,0.5,0.0,0.0,0.3,24.3,2.5
11,11,2.0,2020-06-01 13:19:35,2020-06-01 13:54:18,1.0,10.47,1.0,N,43,25,1.0,33.5,0.0,0.5,7.36,0.0,0.3,44.16,2.5
12,12,2.0,2020-06-01 13:11:03,2020-06-01 13:19:43,1.0,1.36,1.0,N,262,233,1.0,8.0,0.0,0.5,2.26,0.0,0.3,13.56,2.5
13,13,1.0,2020-06-01 13:00:10,2020-06-01 13:39:18,1.0,0.0,1.0,N,107,71,1.0,32.2,0.0,0.5,0.0,0.0,0.3,33.0,0.0
14,14,1.0,2020-06-01 14:44:37,2020-06-01 14:51:13,1.0,1.2,1.0,N,238,151,1.0,6.5,2.5,0.5,1.95,0.0,0.3,11.75,2.5
15,15,1.0,2020-06-01 15:24:50,2020-06-01 15:33:30,1.0,2.3,1.0,N,151,142,1.0,9.5,2.5,0.5,2.55,0.0,0.3,15.35,2.5
16,16,1.0,2020-06-01 15:18:35,2020-06-01 15:33:33,1.0,2.8,1.0,N,170,143,1.0,12.5,2.5,0.5,2.0,0.0,0.3,17.8,2.5
17,17,1.0,2020-06-01 16:38:34,2020-06-01 16:45:29,1.0,2.1,1.0,N,162,236,1.0,8.0,3.5,0.5,3.65,0.0,0.3,15.95,2.5
18,18,1.0,2020-06-01 16:27:56,2020-06-01 16:33:03,0.0,0.4,1.0,N,209,209,3.0,5.0,3.5,0.5,0.0,0.0,0.3,9.3,2.5
19,19,2.0,2020-06-01 17:31:51,2020-06-01 17:36:04,1.0,0.5,1.0,N,74,41,2.0,4.5,1.0,0.5,0.0,0.0,0.3,6.3,0.0
20,20,1.0,2020-06-01 17:10:06,2020-06-01 17:25:29,1.0,4.3,1.0,N,170,238,1.0,15.5,3.5,0.5,2.97,0.0,0.3,22.77,2.5
