,Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
0,0,1.0,2020-08-01 01:02:50,2020-08-01 01:23:52,0.0,5.1,1.0,N,107,74,1.0,19.0,3.0,0.5,4.55,0.0,0.3,27.35,2.5
1,1,2.0,2020-08-01 07:58:59,2020-08-01 08:16:03,1.0,5.53,1.0,N,166,162,2.0,18.0,0.0,0.5,0.0,0.0,0.3,21.3,2.5
2,2,2.0,2020-08-01 09:30:57,2020-08-01 09:51:53,1.0,6.14,1.0,N,238,224,1.0,21.0,0.0,0.5,4.86,0.0,0.3,29.16,2.5
3,3,1.0,2020-08-01 09:55:44,2020-08-01 10:06:12,1.0,2.2,1.0,N,151,74,1.0,10.0,0.0,0.5,25.0,0.0,0.3,35.8,0.0
4,4,1.0,2020-08-01 09:39:26,2020-08-01 09:40:48,1.0,0.2,1.0,N,237,237,1.0,3.0,2.5,0.5,1.85,0.0,0.3,8.15,2.5
5,5,2.0,2020-08-01 11:55:22,2020-08-01 11:57:34,1.0,0.71,1.0,N,143,238,1.0,4.0,0.0,0.5,1.46,0.0,0.3,8.76,2.5
6,6,2.0,2020-08-01 12:30:36,2020-08-01 12:32:25,1.0,0.3,1.0,N,237,237,2.0,3.0,0.0,0.5,0.0,0.0,0.3,6.3,2.5
7,7,2.0,2020-08-01 13:04:54,2020-08-01 13:06:08,6.0,0.39,1.0,N,79,79,1.0,3.0,0.0,0.5,1.58,0.0,0.3,7.88,2.5
8,8,2.0,2020-08-01 13:47:15,2020-08-01 13:51:07,1.0,0.92,1.0,N,236,75,2.0,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5
9,9,1.0,2020-08-01 13:47:00,2020-08-01 13:56:50,1.0,1.8,1.0,N,264,264,2.0,9.0,0.0,0.5,0.0,0.0,0.3,9.8,0.0
10,10,2.0,2020-08-01 14:45:11,2020-08-01 14:55:23,1.0,1.92,1.0,N,90,144,1.0,9.0,0.0,0.5,2.46,0.0,0.3,14.76,2.5
11,11,2.0,2020-08-01 15:34:20,2020-08-01 15:51:18,1.0,3.66,1.0,N,168,75,2.0,14.5,0.0,0.5,0.0,0.0,0.3,15.3,0.0
12,12,1.0,2020-08-01 15:07:34,2020-08-01 15:15:17,1.0,1.5,1.0,N,90,79,1.0,7.0,2.5,0.5,2.05,0.0,0.3,12.35,2.5
13,13,2.0,2020-08-01 15:56:03,2020-08-01 16:04:59,2.0,2.14,1.0,N,263,75,1.0,9.5,0.0,0.5,2.56,0.0,0.3,15.36,2.5
14,14,1.0,2020-08-01 15:23:16,2020-08-01 15:29:32,1.0,0.9,1.0,N,141,140,1.0,6.5,2.5,0.5,2.0,0.0,0.3,11.8,2.5
15,15,2.0,2020-08-01 15:18:12,2020-08-01 15:21:41,1.0,0.83,1.0,N,239,238,1.0,5.0,0.0,0.5,2.0,0.0,0.3,10.3,2.5
16,16,2.0,2020-08-01 17:49:00,2020-08-01 17:55:40,2.0,1.15,1.0,N,246,50,2.0,6.5,0.0,0.5,0.0,0.0,0.3,9.8,2.5
17,17,2.0,2020-08-01 17:40:31,2020-08-01 17:44:47,1.0,0.94,1.0,N,74,75,2.0,5.0,0.0,0.5,0.0,0.0,0.3,5.8,0.0
18,18,2.0,2020-08-01 19:14:39,2020-08-01 19:20:16,6.0,1.36,1.0,N,249,186,1.0,6.5,0.0,0.5,1.96,0.0,0.3,11.76,2.5
19,19,1.0,2020-08-01 22:38:25,2020-08-01 22:44:33,1.0,1.3,1.0,N,186,170,1.0,6.5,3.0,0.5,2.05,0.0,0.3,12.35,2.5
20,20,2.0,2020-08-01 22:24:46,2020-08-01 22:46:31,4.0,5.44,1.0,N,237,129,2.0,20.0,0.5,0.5,0.0,0.0,0.3,23.8,2.5
21,21,2.0,2020-08-02 00:14:42,2020-08-02 00:26:35,1.0,4.14,1.0,N,79,87,1.0,14.5,0.5,0.5,4.58,0.0,0.3,22.88,2.5
22,22,2.0,2020-08-02 00:25:32,2020-08-02 00:27:33,1.0,0.75,1.0,N,140,141,1.0,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5
