,Unnamed:_0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
0,0,1.0,2020-09-01 07:37:32,2020-09-01 07:42:12,1.0,0.9,1.0,N,140,262,1.0,5.5,2.5,0.5,1.75,0.0,0.3,10.55,2.5
1,1,2.0,2020-09-01 07:47:57,2020-09-01 07:52:30,1.0,0.87,1.0,N,48,230,1.0,5.5,0.0,0.5,1.2,0.0,0.3,10.0,2.5
2,2,2.0,2020-09-01 09:02:30,2020-09-01 09:14:01,1.0,2.33,1.0,N,238,43,2.0,11.0,0.0,0.5,0.0,0.0,0.3,14.3,2.5
3,3,1.0,2020-09-01 09:00:28,2020-09-01 09:07:20,1.0,1.3,1.0,N,142,163,1.0,7.0,2.5,0.5,2.0,0.0,0.3,12.3,2.5
4,4,2.0,2020-09-01 10:55:27,2020-09-01 11:06:12,1.0,4.93,1.0,N,88,170,1.0,15.5,0.0,0.5,2.5,0.0,0.3,21.3,2.5
5,5,2.0,2020-09-01 10:00:25,2020-09-01 10:09:44,1.0,1.61,1.0,N,186,163,1.0,8.0,0.0,0.5,1.7,0.0,0.3,13.0,2.5
6,6,2.0,2020-09-01 11:46:00,2020-09-01 12:11:11,1.0,3.77,1.0,N,50,262,1.0,17.0,0.0,0.5,1.0,0.0,0.3,21.3,2.5
7,7,2.0,2020-09-01 11:46:30,2020-09-01 11:54:05,1.0,1.27,1.0,N,249,144,1.0,7.0,0.0,0.5,2.06,0.0,0.3,12.36,2.5
8,8,2.0,2020-09-01 11:13:39,2020-09-01 11:17:46,1.0,0.78,1.0,N,161,170,1.0,5.0,0.0,0.5,1.66,0.0,0.3,9.96,2.5
9,9,1.0,2020-09-01 11:23:16,2020-09-01 11:39:17,1.0,2.5,1.0,N,100,238,2.0,12.5,2.5,0.5,0.0,0.0,0.3,15.8,2.5
10,10,2.0,2020-09-01 12:42:24,2020-09-01 12:56:13,1.0,1.56,1.0,N,140,236,2.0,10.0,0.0,0.5,0.0,0.0,0.3,13.3,2.5
11,11,2.0,2020-09-01 13:31:25,2020-09-01 13:33:53,2.0,0.43,1.0,N,75,75,2.0,4.0,0.0,0.5,0.0,0.0,0.3,4.8,0.0
12,12,2.0,2020-09-01 14:14:29,2020-09-01 14:35:57,1.0,4.83,1.0,N,170,87,1.0,19.0,0.0,0.5,3.34,0.0,0.3,25.64,2.5
13,13,2.0,2020-09-01 14:48:35,2020-09-01 15:02:04,2.0,1.9,1.0,N,161,263,2.0,10.5,0.0,0.5,0.0,0.0,0.3,13.8,2.5
14,14,2.0,2020-09-01 15:07:42,2020-09-01 15:11:22,1.0,1.04,1.0,N,162,164,1.0,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5
15,15,2.0,2020-09-01 15:51:01,2020-09-01 15:54:21,1.0,0.6,1.0,N,137,107,2.0,4.5,0.0,0.5,0.0,0.0,0.3,7.8,2.5
16,16,2.0,2020-09-01 16:07:21,2020-09-01 16:10:01,1.0,0.6,1.0,N,137,79,3.0,-4.0,-1.0,-0.5,0.0,0.0,-0.3,-8.3,-2.5
17,17,2.0,2020-09-01 16:10:12,2020-09-01 16:31:06,1.0,7.36,1.0,N,70,255,1.0,23.0,1.0,0.5,3.0,0.0,0.3,27.8,0.0
18,18,2.0,2020-09-01 16:37:19,2020-09-01 16:57:18,1.0,2.84,1.0,N,151,42,2.0,14.0,1.0,0.5,0.0,0.0,0.3,15.8,0.0
19,19,1.0,2020-09-01 17:05:28,2020-09-01 17:22:33,1.0,3.3,1.0,N,229,158,1.0,13.5,3.5,0.5,2.5,0.0,0.3,20.3,2.5
20,20,2.0,2020-09-01 18:40:58,2020-09-01 18:45:25,1.0,1.22,1.0,N,229,140,1.0,5.5,1.0,0.5,1.18,0.0,0.3,10.98,2.5
21,21,1.0,2020-09-01 18:09:21,2020-09-01 18:16:06,1.0,0.9,1.0,N,163,237,2.0,6.5,3.5,0.5,0.0,0.0,0.3,10.8,2.5
22,22,2.0,2020-09-01 19:58:21,2020-09-01 20:05:57,1.0,1.24,1.0,N,231,144,1.0,7.0,1.0,0.5,2.26,0.0,0.3,13.56,2.5
23,23,2.0,2020-09-01 20:20:23,2020-09-01 20:36:53,1.0,2.18,1.0,N,142,263,1.0,12.5,0.5,0.5,3.2,0.0,0.3,19.5,2.5
24,24,2.0,2020-09-01 21:23:01,2020-09-01 21:28:03,1.0,0.55,1.0,N,137,170,1.0,5.0,0.5,0.5,2.64,0.0,0.3,11.44,2.5
25,25,1.0,2020-09-02 02:57:43,2020-09-02 03:20:36,1.0,13.2,1.0,N,68,60,1.0,37.0,3.0,0.5,0.0,0.0,0.3,40.8,2.5
26,26,2.0,2020-09-02 06:49:14,2020-09-02 06:57:58,2.0,1.27,1.0,N,186,137,1.0,7.5,0.0,0.5,3.24,0.0,0.3,14.04,2.5
27,27,2.0,2020-09-02 06:44:47,2020-09-02 06:50:54,1.0,1.54,1.0,N,263,140,1.0,7.0,0.0,0.5,2.06,0.0,0.3,12.36,2.5
28,28,1.0,2020-09-02 07:38:00,2020-09-02 07:52:35,1.0,2.8,1.0,N,142,263,1.0,12.0,2.5,0.5,3.06,0.0,0.3,18.36,2.5
29,29,1.0,2020-09-02 07:16:47,2020-09-02 07:23:19,1.0,1.7,1.0,N,237,263,1.0,7.5,2.5,0.5,2.15,0.0,0.3,12.95,2.5
30,30,2.0,2020-09-02 08:23:32,2020-09-02 08:35:05,4.0,2.41,1.0,N,75,161,1.0,10.5,0.0,0.5,4.14,0.0,0.3,17.94,2.5
31,31,1.0,2020-09-02 08:39:25,2020-09-02 08:58:41,1.0,2.1,1.0,N,263,237,1.0,13.0,2.5,0.5,3.25,0.0,0.3,19.55,2.5
32,32,2.0,2020-09-02 07:13:09,2020-09-02 07:21:06,1.0,0.84,1.0,N,236,75,1.0,6.5,0.0,0.5,3.0,0.0,0.3,12.8,2.5
33,33,2.0,2020-09-02 08:15:33,2020-09-02 08:31:47,1.0,2.38,1.0,N,239,161,1.0,12.0,0.0,0.5,3.06,0.0,0.3,18.36,2.5
34,34,2.0,2020-09-02 08:29:36,2020-09-02 09:01:11,2.0,14.48,3.0,N,79,1,1.0,59.0,0.0,0.0,8.0,19.75,0.3,87.05,0.0
35,35,2.0,2020-09-02 09:28:44,2020-09-02 09:32:29,2.0,0.33,1.0,N,162,237,2.0,4.0,0.0,0.5,0.0,0.0,0.3,7.3,2.5
36,36,2.0,2020-09-02 09:47:06,2020-09-02 10:02:43,1.0,1.91,1.0,N,143,229,2.0,11.5,0.0,0.5,0.0,0.0,0.3,14.8,2.5
37,37,2.0,2020-09-02 11:37:54,2020-09-02 11:43:36,1.0,0.61,1.0,N,239,239,1.0,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5
38,38,2.0,2020-09-02 12:51:12,2020-09-02 12:54:32,1.0,0.6,1.0,N,114,249,1.0,4.5,0.0,0.5,1.56,0.0,0.3,9.36,2.5
