parking_zone,bay_id,st_marker_id,status,location,lat,lon
,4406,C7246,Present,"(-37.807963606598314, 144.9520872066812)",-37.807963606598314,144.9520872066812
,4573,8014E,Present,"(-37.8296316908518, 144.96909856930577)",-37.8296316908518,144.96909856930577
,3267,5824E,Unoccupied,"(-37.80678413595104, 144.95351785207032)",-37.80678413595104,144.95351785207032
,3995,C5958,Unoccupied,"(-37.80387723844995, 144.95400241254293)",-37.80387723844995,144.95400241254293
,2248,3938N,Unoccupied,"(-37.81226727797973, 144.95437225197944)",-37.81226727797973,144.95437225197944
,2645,10119W,Present,"(-37.80325643016957, 144.94796492747898)",-37.80325643016957,144.94796492747898
,3375,6193W,Present,"(-37.8065656135546, 144.9511022369515)",-37.8065656135546,144.9511022369515
,3157,5349W,Present,"(-37.810148414031445, 144.95558171538377)",-37.810148414031445,144.95558171538377
,6079,13223S,Present,"(-37.81892742284184, 144.94727933973383)",-37.81892742284184,144.94727933973383
,3563,7089S,Unoccupied,"(-37.80898189187612, 144.95354385138776)",-37.80898189187612,144.95354385138776
,2694,10324E,Unoccupied,"(-37.80300386158146, 144.94403243100396)",-37.80300386158146,144.94403243100396
,3913,C5740,Present,"(-37.80500514612093, 144.9553019180858)",-37.80500514612093,144.9553019180858
,869,738E,Unoccupied,"(-37.81340305141516, 144.96849961317562)",-37.81340305141516,144.96849961317562
,3829,C5528,Unoccupied,"(-37.80677055046829, 144.95412992036552)",-37.80677055046829,144.95412992036552
,3730,7784N,Unoccupied,"(-37.802431124332074, 144.94482481471812)",-37.802431124332074,144.94482481471812
,4246,C6824,Unoccupied,"(-37.80948144669376, 144.9556201057953)",-37.80948144669376,144.9556201057953
,2643,10117W,Unoccupied,"(-37.80331033543291, 144.94795547514428)",-37.80331033543291,144.94795547514428
,3396,6235W,Present,"(-37.80594155061086, 144.95081806074066)",-37.80594155061086,144.95081806074066
,3822,C5500,Unoccupied,"(-37.80718808695781, 144.9543188718062)",-37.80718808695781,144.9543188718062
,8966,7865W,Present,"(-37.82640009326216, 144.97106667324073)",-37.82640009326216,144.97106667324073
,3846,C5576,Unoccupied,"(-37.80634703943952, 144.95393714038005)",-37.80634703943952,144.95393714038005
,4090,C6300,Present,"(-37.80476874676958, 144.95082582224578)",-37.80476874676958,144.95082582224578
,3877,C5650,Present,"(-37.806716761819445, 144.9549998749622)",-37.806716761819445,144.9549998749622
,4121,C6404,Unoccupied,"(-37.80370335884251, 144.95101367765076)",-37.80370335884251,144.95101367765076
,3726,7741S,Unoccupied,"(-37.80323523134001, 144.9504105756235)",-37.80323523134001,144.9504105756235
,3594,7329W,Present,"(-37.8055645772432, 144.94922467217737)",-37.8055645772432,144.94922467217737
,3013,5088E,Unoccupied,"(-37.80463759165694, 144.95782799435162)",-37.80463759165694,144.95782799435162
,5882,12912N,Present,"(-37.798385444199326, 144.96544383522328)",-37.798385444199326,144.96544383522328
,5266,4531W,Present,"(-37.81074527389115, 144.95299777390767)",-37.81074527389115,144.95299777390767
,3393,6229W,Present,"(-37.8060050580372, 144.95084709764473)",-37.8060050580372,144.95084709764473
,3257,5810E,Unoccupied,"(-37.80701382917928, 144.95347745313472)",-37.80701382917928,144.95347745313472
,6031,13073S,Present,"(-37.821304574786026, 144.94372722737688)",-37.821304574786026,144.94372722737688
,3894,C5700,Present,"(-37.8061403466223, 144.95510289667212)",-37.8061403466223,144.95510289667212
,3723,7735S,Unoccupied,"(-37.80326767897914, 144.95071374441312)",-37.80326767897914,144.95071374441312
,2242,3930N,Unoccupied,"(-37.81219457073095, 144.9546289525064)",-37.81219457073095,144.9546289525064
,4364,C7162,Unoccupied,"(-37.80717524022039, 144.95370755869564)",-37.80717524022039,144.95370755869564
,6421,13668E,Present,"(-37.82103994258789, 144.94543155458342)",-37.82103994258789,144.94543155458342
,2669,10178E,Present,"(-37.80410451447679, 144.94953261336826)",-37.80410451447679,144.94953261336826
,958,C830,Present,"(-37.81116388797592, 144.9673469528956)",-37.81116388797592,144.9673469528956
,4429,C7698,Present,"(-37.80363572036981, 144.9548409901965)",-37.80363572036981,144.9548409901965
,3009,5078E,Unoccupied,"(-37.804851403825936, 144.95792778815903)",-37.804851403825936,144.95792778815903
,3993,C5954,Unoccupied,"(-37.80392684324373, 144.95399357403704)",-37.80392684324373,144.95399357403704
,3888,C5676,Present,"(-37.80639421251, 144.95505754521946)",-37.80639421251,144.95505754521946
,5863,C9154,Present,"(-37.798434243639065, 144.96504816433952)",-37.798434243639065,144.96504816433952
,3602,7337W,Present,"(-37.80541851681704, 144.94924071435915)",-37.80541851681704,144.94924071435915
,6040,13000N,Unoccupied,"(-37.819277474460826, 144.9531460181991)",-37.819277474460826,144.9531460181991
,3372,6189W,Present,"(-37.80663100342997, 144.95113184139066)",-37.80663100342997,144.95113184139066
