,Unnamed:_0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
0,0,2.0,2020-07-01 06:26:18,2020-07-01 06:28:31,1.0,0.61,1.0,N,100,230,1.0,4.0,0.0,0.5,1.46,0.0,0.3,8.76,2.5
1,1,2.0,2020-07-01 06:34:07,2020-07-01 06:37:21,1.0,1.45,1.0,N,230,90,2.0,6.0,0.0,0.5,0.0,0.0,0.3,9.3,2.5
2,2,1.0,2020-07-01 06:36:05,2020-07-01 06:42:15,1.0,0.9,1.0,N,100,161,2.0,6.5,2.5,0.5,0.0,0.0,0.3,9.8,2.5
3,3,2.0,2020-07-01 07:15:26,2020-07-01 07:26:38,1.0,1.33,1.0,N,161,140,1.0,9.0,0.0,0.5,2.46,0.0,0.3,14.76,2.5
4,4,2.0,2020-07-01 09:17:51,2020-07-01 09:20:19,1.0,0.57,1.0,N,163,161,1.0,4.0,0.0,0.5,0.73,0.0,0.3,8.03,2.5
5,5,1.0,2020-07-01 11:47:57,2020-07-01 12:05:42,1.0,4.0,1.0,N,263,164,2.0,16.5,2.5,0.5,0.0,0.0,0.3,19.8,2.5
6,6,2.0,2020-07-01 11:39:37,2020-07-01 11:51:46,1.0,2.27,1.0,N,142,43,1.0,10.0,0.0,0.5,2.66,0.0,0.3,15.96,2.5
7,7,2.0,2020-07-01 11:16:26,2020-07-01 11:20:30,1.0,1.19,1.0,N,233,141,2.0,5.5,0.0,0.5,0.0,0.0,0.3,8.8,2.5
8,8,2.0,2020-07-01 12:30:29,2020-07-01 12:35:14,1.0,0.71,1.0,N,236,262,2.0,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5
9,9,1.0,2020-07-01 12:58:31,2020-07-01 13:16:45,1.0,5.0,1.0,N,162,87,1.0,18.0,2.5,0.5,4.25,0.0,0.3,25.55,2.5
10,10,2.0,2020-07-01 13:30:49,2020-07-01 13:40:57,1.0,2.58,1.0,N,170,236,2.0,10.0,0.0,0.5,0.0,0.0,0.3,13.3,2.5
11,11,2.0,2020-07-01 13:19:31,2020-07-01 13:28:33,1.0,1.55,1.0,N,162,90,2.0,8.0,0.0,0.5,0.0,0.0,0.3,11.3,2.5
12,12,2.0,2020-07-01 14:08:08,2020-07-01 14:15:05,1.0,1.07,1.0,N,143,142,2.0,6.5,0.0,0.5,0.0,0.0,0.3,9.8,2.5
13,13,2.0,2020-07-01 14:15:11,2020-07-01 14:47:47,1.0,8.2,1.0,N,170,235,2.0,28.0,0.0,0.5,0.0,0.0,0.3,31.3,2.5
14,14,2.0,2020-07-01 14:27:17,2020-07-01 14:36:07,5.0,1.4,1.0,N,75,74,1.0,7.5,0.0,0.5,1.66,0.0,0.3,9.96,0.0
15,15,2.0,2020-07-01 14:36:26,2020-07-01 15:05:37,2.0,10.21,1.0,N,70,127,1.0,32.0,0.0,0.5,7.78,6.12,0.3,46.7,0.0
16,16,1.0,2020-07-01 14:47:03,2020-07-01 15:11:17,1.0,2.9,1.0,N,79,100,1.0,17.0,2.5,0.5,4.05,0.0,0.3,24.35,2.5
17,17,2.0,2020-07-01 16:15:54,2020-07-01 16:22:42,1.0,1.68,1.0,N,142,43,2.0,7.5,1.0,0.5,0.0,0.0,0.3,11.8,2.5
18,18,2.0,2020-07-01 16:47:02,2020-07-01 16:52:24,1.0,1.19,1.0,N,143,50,1.0,6.0,1.0,0.5,1.5,0.0,0.3,11.8,2.5
19,19,1.0,2020-07-01 16:08:00,2020-07-01 16:11:06,2.0,0.5,1.0,N,68,90,2.0,4.0,3.5,0.5,0.0,0.0,0.3,8.3,2.5
20,20,1.0,2020-07-01 17:10:42,2020-07-01 17:14:35,2.0,0.7,1.0,N,238,151,1.0,5.0,3.5,0.5,1.85,0.0,0.3,11.15,2.5
21,21,1.0,2020-07-01 18:03:07,2020-07-01 18:14:44,1.0,1.3,1.0,N,74,42,2.0,8.5,1.0,0.5,0.0,0.0,0.3,10.3,0.0
22,22,1.0,2020-07-01 18:33:58,2020-07-01 18:36:24,1.0,0.6,1.0,N,237,237,1.0,4.0,3.5,0.5,1.5,0.0,0.3,9.8,2.5
23,23,1.0,2020-07-01 18:25:56,2020-07-01 18:42:36,1.0,4.7,1.0,N,170,88,1.0,17.0,3.5,0.5,2.13,0.0,0.3,23.43,2.5
24,24,2.0,2020-07-01 19:56:21,2020-07-01 20:00:50,3.0,1.53,1.0,N,48,68,1.0,6.0,1.0,0.5,2.06,0.0,0.3,12.36,2.5
25,25,1.0,2020-07-01 20:21:23,2020-07-01 20:27:46,1.0,1.2,1.0,N,114,148,1.0,6.5,3.0,0.5,2.05,0.0,0.3,12.35,2.5
26,26,2.0,2020-07-01 23:29:14,2020-07-02 00:03:03,1.0,11.55,1.0,N,50,26,1.0,36.0,0.5,0.5,0.0,6.12,0.3,45.92,2.5
